iter	Logloss
0	0.6830697941
1	0.6734621665
2	0.6656538249
3	0.6565321552
4	0.6503299442
5	0.6431740589
6	0.6380117327
7	0.6347375315
8	0.6323099146
9	0.628508152
10	0.6234087968
11	0.620308371
12	0.6153287457
13	0.6113717381
14	0.607794885
15	0.6036481079
16	0.6011391276
17	0.5998132782
18	0.5987416619
19	0.5965864427
20	0.5954673619
21	0.5938764726
22	0.5908283309
23	0.5857077092
24	0.5774233133
25	0.5758920236
26	0.5726481836
27	0.5699592311
28	0.5684938006
29	0.567746153
30	0.5675467737
31	0.5670332073
32	0.5661637721
33	0.5655307207
34	0.5620104378
35	0.5586268807
36	0.5534645721
37	0.5514364172
38	0.550999442
39	0.549069915
40	0.5486703429
41	0.545800375
42	0.5453432947
43	0.5429603459
44	0.5408950032
45	0.5378949811
46	0.5350956036
47	0.5337495205
48	0.5309287136
49	0.5303555688
50	0.528724668
51	0.5260792782
52	0.524802957
53	0.5208520343
54	0.5185340827
55	0.5174015775
56	0.5172722932
57	0.5148714737
58	0.5128842375
59	0.5120267081
60	0.5104239964
61	0.5094258545
62	0.5088195556
63	0.5075626614
64	0.5059501435
65	0.5055227829
66	0.503275672
67	0.5017546536
68	0.5011155667
69	0.4984563075
70	0.4971891691
71	0.4953596496
72	0.4945364736
73	0.4940953934
74	0.4918849416
75	0.4883807232
76	0.4875111121
77	0.4872307735
78	0.4837709982
79	0.481908145
80	0.4802243386
81	0.4753061931
82	0.4743199168
83	0.4731086646
84	0.4724469491
85	0.4713407815
86	0.468219342
87	0.467131106
88	0.4650163728
89	0.4645358974
90	0.4629898551
91	0.4622399314
92	0.4596420301
93	0.4564148952
94	0.4537032911
95	0.4528404541
96	0.4517375255
97	0.449726356
98	0.4485594094
99	0.4472307838
100	0.4440658216
101	0.4426721789
102	0.4416994255
103	0.4410079542
104	0.4390790159
105	0.4366929786
106	0.43574367
107	0.435095041
108	0.434191628
109	0.4331583946
110	0.4311371666
111	0.4302174387
112	0.429140119
113	0.4261398355
114	0.4250786025
115	0.4245813185
116	0.4232597211
117	0.4220933084
118	0.4209313278
119	0.4199970629
120	0.4186789783
121	0.4136719068
122	0.4129474833
123	0.4126676376
124	0.4103267513
125	0.4082926133
126	0.4066304234
127	0.4052479164
128	0.4025025154
129	0.4019975296
130	0.4017704401
131	0.4008859766
132	0.39993536
133	0.396975881
134	0.3963330836
135	0.3961323512
136	0.3960620641
137	0.3935057509
138	0.3912300694
139	0.3910352739
140	0.3881798929
141	0.3877517058
142	0.386883729
143	0.3840529451
144	0.3835547646
145	0.3809820345
146	0.3789041717
147	0.3755950174
148	0.374172518
149	0.3738688059
150	0.3723720526
151	0.3698324407
152	0.3680790166
153	0.3674384241
154	0.3644799142
155	0.3640927549
156	0.3616053252
157	0.3602995917
158	0.3597710032
159	0.3592073634
160	0.3590447678
161	0.3589429568
162	0.3573793695
163	0.355952812
164	0.3541822891
165	0.3534103514
166	0.3532806054
167	0.3516164126
168	0.3512782993
169	0.3504837658
170	0.3499599376
171	0.3494387758
172	0.3481539424
173	0.3470696816
174	0.3461010251
175	0.3452702836
176	0.3448928607
177	0.3440785541
178	0.3438764197
179	0.343571831
180	0.3428361995
181	0.3421862806
182	0.3418266775
183	0.3392120934
184	0.3383149714
185	0.3379835575
186	0.3378883697
187	0.3364955563
188	0.3340877154
189	0.3336942312
190	0.3317571956
191	0.3316963783
192	0.3309902717
193	0.3305015064
194	0.3296825117
195	0.3278937282
196	0.3264895891
197	0.3247050663
198	0.3243893184
199	0.3222571831
